URL,Size,OutLinks,ContentType,,
https://www.c-span.org/,72872bytes,124,text/html,,
https://www.c-span.org/special/?lincolnBook,30179bytes,56,text/html,,There is a difference in the content types total and number of fetches succeeded.
https://www.c-span.org/special/?grantsTomb,30177bytes,56,text/html,,This is because the total number fetches succeeded is calculated before and the content
https://www.c-span.org/SundaysAtEight/,30182bytes,56,text/html,,type is assigned afterwards.  Fetches succeeded is equivalent to total URL starts with a particular type
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fbooks%2F,36229bytes,56,text/html,,but there extensions can be broken. Like jp?g or tiff? extension pages were found so they are neglected. 
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Ffaq%2F,36223bytes,56,text/html,,"Hence, there is a difference in the both but again it is less than 10% so it is acceptable according to the"
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=1162,71529bytes,96,text/html,,instructor on piazza.
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=1281,72116bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=263,60405bytes,75,text/html,,
https://www.c-span.org/series/?inDepth,51917bytes,111,text/html,,
https://www.c-span.org/series/?bookfairs,76343bytes,87,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=163,72756bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=165,72939bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=168,72327bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=167,72333bytes,96,text/html,,
https://www.c-span.org/series/print/?date=2018-02-21%2019%3A03%3A58&series=5,32085bytes,32,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=155,72605bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=154,72906bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=156,72895bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=190,72419bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=860,72535bytes,96,text/html,,
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=853,72423bytes,96,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FcontactUs%2F,36241bytes,56,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FcopyrightsAndLicensing%2F,36280bytes,56,text/html,,
https://www.c-span.org/congress/?chamber=senate,43304bytes,82,text/html,,
https://www.c-span.org/congress/bills/bill/?115%2Fhr4533,47168bytes,80,text/html,,
https://www.c-span.org/congress/?chamber=house,56564bytes,98,text/html,,
https://www.c-span.org/congress/bills/bill/?115%2Fhr1725,52668bytes,92,text/html,,
https://www.c-span.org/congress/members/?chamber=house,49782bytes,91,text/html,,
https://www.c-span.org/congress/bills/?chamber=house,54767bytes,121,text/html,,
https://www.c-span.org/search/?formatid%5B%5D=9&query&searchtype=Videos,73665bytes,96,text/html,,
https://www.c-span.org/congress/committees/?chamber=house,46394bytes,118,text/html,,
https://www.c-span.org/congress/bills/bill/?115%2Fhr3122,50045bytes,87,text/html,,
https://www.c-span.org/search/?formatid%5B%5D=13&searchtype=Videos&sort=Newest,74654bytes,96,text/html,,
https://www.c-span.org/search/?formatid%5B%5D=25&searchtype=Videos&sort=Newest,74340bytes,104,text/html,,
https://www.c-span.org/congress/bills/bill/?115%2Fs946,50371bytes,105,text/html,,
https://www.c-span.org/congress/votes/?chamber=house,102274bytes,103,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fcongress%2F,36218bytes,56,text/html,,
https://www.c-span.org/search/?query=gun%2Bcontrol&searchtype=Videos,74251bytes,105,text/html,,
https://www.c-span.org/search/?query=14th%2Bamendment&searchtype=Videos,73653bytes,104,text/html,,
https://www.c-span.org/search/?query=1st%2Bamendment&searchtype=Videos,62661bytes,88,text/html,,
https://www.c-span.org/search/?query=4th%2Bamendment&searchtype=Videos,59004bytes,80,text/html,,
